housing,contact,month,duration,poutcome,y
yes,unknown,may,261,unknown,1
yes,unknown,may,151,unknown,1
yes,unknown,may,76,unknown,1
yes,unknown,may,92,unknown,1
no,unknown,may,198,unknown,1
yes,unknown,may,139,unknown,1
yes,unknown,may,217,unknown,1
yes,unknown,may,380,unknown,1
yes,unknown,may,50,unknown,1
yes,unknown,may,55,unknown,1
yes,unknown,may,222,unknown,1
yes,unknown,may,137,unknown,1
yes,unknown,may,517,unknown,1
yes,unknown,may,71,unknown,1
yes,unknown,may,174,unknown,1
yes,unknown,may,353,unknown,1
yes,unknown,may,98,unknown,1
yes,unknown,may,38,unknown,1
yes,unknown,may,219,unknown,1
yes,unknown,may,54,unknown,1
yes,unknown,may,262,unknown,1
yes,unknown,may,164,unknown,1
yes,unknown,may,160,unknown,1
yes,unknown,may,342,unknown,1
yes,unknown,may,181,unknown,1
yes,unknown,may,172,unknown,1
yes,unknown,may,296,unknown,1
yes,unknown,may,127,unknown,1
yes,unknown,may,255,unknown,1
yes,unknown,may,348,unknown,1
no,unknown,may,225,unknown,1
yes,unknown,may,230,unknown,1
yes,unknown,may,208,unknown,1
yes,unknown,may,226,unknown,1
yes,unknown,may,336,unknown,1
yes,unknown,may,242,unknown,1
yes,unknown,may,365,unknown,1
no,unknown,may,1666,unknown,1
yes,unknown,may,577,unknown,1
yes,unknown,may,137,unknown,1
yes,unknown,may,160,unknown,1
yes,unknown,may,180,unknown,1
yes,unknown,may,22,unknown,1
yes,unknown,may,1492,unknown,1
yes,unknown,may,616,unknown,1
yes,unknown,may,242,unknown,1
yes,unknown,may,355,unknown,1
yes,unknown,may,225,unknown,1
no,unknown,may,160,unknown,1
yes,unknown,may,363,unknown,1
yes,unknown,may,266,unknown,1
yes,unknown,may,253,unknown,1
yes,unknown,may,179,unknown,1
yes,unknown,may,787,unknown,1
yes,unknown,may,145,unknown,1
no,unknown,may,174,unknown,1
yes,unknown,may,104,unknown,1
yes,unknown,may,13,unknown,1
yes,unknown,may,185,unknown,1
yes,unknown,may,1778,unknown,1
yes,unknown,may,138,unknown,1
yes,unknown,may,812,unknown,1
yes,unknown,may,164,unknown,1
yes,unknown,may,391,unknown,1
yes,unknown,may,357,unknown,1
yes,unknown,may,91,unknown,1
no,unknown,may,528,unknown,1
yes,unknown,may,273,unknown,1
yes,unknown,may,158,unknown,1
yes,unknown,may,177,unknown,1
yes,unknown,may,258,unknown,1
yes,unknown,may,172,unknown,1
yes,unknown,may,154,unknown,1
yes,unknown,may,291,unknown,1
yes,unknown,may,181,unknown,1
yes,unknown,may,176,unknown,1
no,unknown,may,211,unknown,1
no,unknown,may,349,unknown,1
yes,unknown,may,272,unknown,1
yes,unknown,may,208,unknown,1
yes,unknown,may,193,unknown,1
no,unknown,may,212,unknown,1
yes,unknown,may,20,unknown,1
yes,unknown,may,1042,unknown,2
yes,unknown,may,246,unknown,1
yes,unknown,may,529,unknown,1
no,unknown,may,1467,unknown,2
